Haus,house,Das ist mein Haus.,That is my house.,घर,वह मेरा घर है।
niemals,never,Ich werde das niemals tun.,I will never do that.,कभी नहीं,मैं ऐसा कभी नहीं करूंगा.
beinahe,almost / nearly,Ich habe es beinahe vergessen.,I almost forgot it.,लगभग/लगभग,मैं इसे लगभग भूल ही गया था।
komplett,complete / entirely,Das Projekt ist komplett fertig.,The project is completely finished.,पूर्ण/पूरी तरह से,प्रोजेक्ट पूरी तरह ख़त्म हो गया है.
extra,extra / special,Ich kaufe extra Kuchen.,I am buying cake especially.,अतिरिक्त विशेष,मैं खासतौर पर केक खरीद रहा हूं.
sofort,immediately,Ich komme sofort.,I am coming immediately.,तुरंत,मैं तुरंत आ रहा हूं.
gleichzeitig,simultaneously,Wir arbeiten gleichzeitig.,We are working simultaneously.,इसके साथ ही,हम एक साथ काम कर रहे हैं.
ebenso,likewise / as well,Ich denke ebenso.,I think the same way.,इसी तरह / भी,मैं भी ऐसा ही सोचता हूं.
irgendwo,somewhere,Ich habe es irgendwo gesehen.,I saw it somewhere.,कहीं,मैंने इसे कहीं देखा.
nirgendwo,nowhere,Ich finde es nirgendwo.,I can’t find it anywhere.,कहीं नहीं,मेरे द्वारा इसे कहीं भी ढूंढा जा सकता है।
längst,long ago / already,Er ist längst gegangen.,He left long ago.,बहुत पहले/पहले से ही,वह बहुत पहले चला गया.
zuletzt,last / finally,Zuletzt haben wir Pizza gegessen.,"Finally, we ate pizza.",अंतिम/आख़िरकार,आख़िरकार हमने पिज़्ज़ा खाया.
getrennt,separated,Wir schlafen getrennt.,We sleep separately.,अलग,हम अलग सोते हैं.
täglich,daily,Ich trainiere täglich.,I train daily.,दैनिक,मैं रोजाना ट्रेनिंग करता हूं।
wöchentlich,weekly,Wir treffen uns wöchentlich.,We meet weekly.,साप्ताहिक,हम साप्ताहिक मिलते हैं.
monatlich,monthly,Die Rechnung kommt monatlich.,The bill comes monthly.,महीने के,बिल मासिक आता है.
jährlich,yearly / annually,Wir machen das jährlich.,We do this annually.,वार्षिक/वार्षिक,हम ऐसा प्रतिवर्ष करते हैं।
dort drüben,over there,Das Haus ist dort drüben.,The house is over there.,वहाँ पर,घर वहीं पर है.
da vorne,at the front,Die Klasse ist da vorne.,The class is at the front.,मोर्चे पर,क्लास सबसे आगे है.
da hinten,at the back,Die Tasche ist da hinten.,The bag is at the back.,पीठ पर,बैग पीछे है.
unterwegs,on the way,Ich bin unterwegs.,I am on the way.,रास्ते में,मैं रास्ते में हूँ।
vorbei,past / over,Wir sind am Park vorbei gegangen.,We walked past the park.,अतीत/पर,हम पार्क के पास से गुजरे।
bisher,so far / until now,Bisher lief alles gut.,"So far, everything went well.",अब तक / अब तक,अब तक सब कुछ ठीक रहा.
irgendwohin,to somewhere,Ich gehe irgendwohin.,I am going somewhere.,कहीं के लिए,मैं कहीं जा रहा हूँ.
nirgendwohin,to nowhere,Wir fahren nirgendwohin.,We are going nowhere.,कहीं नहीं,हम कहीं नहीं जा रहे हैं.
weiterhin,furthermore / still,Wir arbeiten weiterhin.,We continue to work.,इसके अलावा / अभी भी,हम काम करना जारी रखते हैं।
gleich,immediately,Ich komme gleich.,I will come immediately.,तुरंत,मैं तुरंत आऊंगा.
irgendwie,somehow,Ich schaffe es irgendwie.,I will manage it somehow.,किसी तरह,मैं इसे किसी तरह मैनेज कर लूंगा.
offenbar,obviously,Offenbar hat er Recht.,"Obviously, he is right.",ज़ाहिर तौर से,"जाहिर है, वह सही है."
tagsüber,during the day,Tagsüber arbeite ich.,I work during the day.,दिन के दौरान,मैं दिन में काम करता हूं.
nachts,at night,Nachts schlafe ich.,I sleep at night.,रात में,हम रात को सोते हैं।
grundsätzlich,basically,Grundsätzlich stimme ich zu.,"Basically, I agree.",मूल रूप से,"मूलतः, मैं सहमत हूँ."
akzeptieren,to accept,Ich akzeptiere das Angebot.,I accept the offer.,कबूल करना,मैं प्रस्ताव स्वीकार करता हूं.
zustimmen,to agree,Ich stimme dir zu.,I agree with you.,राजी होना,मैं आपसे सहमत हूँ।
analysieren,to analyze,Der Arzt analysiert die Ergebnisse.,The doctor analyzes the results.,विश्लेषण करने के लिए,डॉक्टर परिणामों का विश्लेषण करता है।
entschuldigen,to apologize,Ich entschuldige mich für den Fehler.,I apologize for the mistake.,माफी माँगने के लिए,गलती के लिए मुझे माफ करना।
sich bewerben,to apply,Ich bewerbe mich um die Stelle.,I apply for the job.,लगा देना,मैं नौकरी के लिए आवेदन करता हूं.
ankommen,to arrive,Wir kommen am Bahnhof an.,We arrive at the station.,आने के लिए,हम स्टेशन पहुँचे।
verhaften,to arrest,Die Polizei verhaftet den Dieb.,The police arrest the thief.,बंदी बनाना,पुलिस ने चोर को गिरफ्तार कर लिया.
fragen,to ask,Ich frage eine Frage.,I ask a question.,पूछने के लिए,मैं एक प्रश्न पूछता हूँ.
backen,to bake,Sie backt einen Kuchen.,She bakes a cake.,सेंकना,वह केक बनाती है.
sein,to be-is/am/are,Ich bin Student.,I am a student.,होना-है/हैं/हैं,मैं पढ़ता हूं।
können,to be able to,Ich kann schwimmen.,I can swim.,करने में सक्षम हो,मैं तैर सकता हूं।
geboren werden,to be born,Er wurde in Berlin geboren.,He was born in Berlin.,पैदा होना,उनका जन्म बर्लिन में हुआ था.
heißen,to be called,Ich heiße Anna.,My name is Anna.,कहा जा सकता है,मेरा नाम एना है।
beginnen,to begin,Der Unterricht beginnt jetzt.,The lesson begins now.,शुरू करने के लिए,पाठ अब शुरू होता है.
glauben,to believe,Ich glaube dir.,I believe you.,विश्वास करना,मुझे आप पर विश्वास है।
gehören,to belong,Das Buch gehört mir.,The book belongs to me.,सदस्य बनने के लिए,किताब मेरी है.
blinken,to blink,Er blinzelt mit den Augen.,He blinks his eyes.,झपकने के लिए,वह अपनी आँखें झपकाते हैं.
bluten,to bleed,Ich blute am Finger.,I bleed from my finger.,खून करने के लिए,मेरी उंगली से खून बह रहा है.
kochen,to boil,Das Wasser kocht.,The water boils.,उबालने के लिए,पानी उबल जाता है.
buchen,to book,Ich buche einen Flug.,I book a flight.,बुक करने के लिए,मैं एक फ्लाइट बुक करता हूं.
leihen,to borrow,Ich leihe ein Buch aus der Bibliothek.,I borrow a book from the library.,उधार लेना,मैं पुस्तकालय से एक पुस्तक उधार लेता हूँ।
atmen,to breathe,Wir atmen frische Luft.,We breathe fresh air.,साँस लेना,हम ताजी हवा में सांस लेते हैं।
bringen,to bring,Ich bringe Blumen.,I bring flowers.,लाने के लिए,मैं फूल लाता हूँ.
bürsten,to brush,Sie bürstet ihr Haar.,She brushes her hair.,ब्रश करने के लिए,वह अपने बालों को संवारती है।
bauen,to build,Sie bauen ein Haus.,They build a house.,निर्माण करने के लिए,वे एक घर बनाते हैं.
brennen,to burn,Das Feuer brennt.,The fire burns.,जलाना,आग जलती है.
begraben,to bury,Wir begraben den Schatz.,We bury the treasure.,दफनाने के लिए,हम खजाना दफनाते हैं।
kaufen,to buy,Ich kaufe Brot.,I buy bread.,खरीदने के लिए,मैं रोटी खरीदता हूं.
rufen,to call,Ich rufe meinen Freund.,I call my friend.,आवाज देना,मैं अपने दोस्त को फ़ोन करता हूँ.
absagen,to cancel,Ich sage das Treffen ab.,I cancel the meeting.,निरस्त करना,मैं बैठक रद्द करता हूं.
tragen,to carry,Er trägt eine Tasche.,He carries a bag.,ले जाने के लिए,वह एक बैग रखता है.
ändern,to change,Sie ändert ihren Plan.,She changes her plan.,को बदलने,वह अपनी योजना बदल देती है।
prüfen,to check,Der Lehrer prüft die Hausaufgabe.,The teacher checks the homework.,जाँच करने के लिए,शिक्षक गृहकार्य की जाँच करता है।
wählen,to choose,Ich wähle das rote Hemd.,I choose the red shirt.,चुन लेना,मैं लाल शर्ट चुनता हूं.
reinigen,to clean,Wir reinigen das Zimmer.,We clean the room.,को साफ,हम कमरा साफ़ करते हैं.
klettern,to climb,Das Kind klettert auf den Baum.,The child climbs the tree.,चढ़ना,बच्चा पेड़ पर चढ़ जाता है.
schließen,to close,Bitte schließe die Tür.,Please close the door.,बंद कर देना,कृपया दरवाज़ा बंद करें।
kämmen,to comb,Sie kämmt ihr Haar.,She combs her hair.,कंघी करने के लिए,वह अपने बालों में कंघी करती है।
vergleichen,to compare,Ich vergleiche zwei Preise.,I compare two prices.,तुलना करने के लिए,मैं दो कीमतों की तुलना करता हूं।
verbinden,to connect,Ich verbinde das Kabel.,I connect the cable.,कनेक्ट करने के लिए,मैं केबल जोड़ता हूं.
gratulieren,to congratulate,Ich gratuliere dir.,I congratulate you.,बधाई देने के लिए,मेरी ओर से आपको बधाई हो।
koordinieren,to coordinate,Sie koordiniert das Projekt.,She coordinates the project.,समायोजन करना,वह परियोजना का समन्वय करती है।
kopieren,to copy,Ich kopiere den Text.,I copy the text.,प्रतिलिपि बनाने के लिए,मैं पाठ की प्रतिलिपि बनाता हूँ.
korrigieren,to correct,Der Lehrer korrigiert,The teacher corrects,ठीक करना,शिक्षक सुधारता है
husten,to cough,Er hustet laut.,He coughs loudly.,खाँसी,वह जोर से खांसता है.
zählen,to count,Ich zähle bis zehn.,I count to ten.,गिनती करने के लिए,मैं दस तक गिनता हूं.
schneiden,to cut,Sie schneidet das Brot.,She cuts the bread.,कटौती करने के लिए,वह रोटी काटती है.
tanzen,to dance,Wir tanzen zusammen.,We dance together.,नृत्य करने के लिए,हम साथ में डांस करते हैं.
entscheiden,to decide,Ich entscheide heute.,I decide today.,ठान ले,मैं आज फैसला करता हूं.
dekorieren,to decorate,Wir dekorieren das Zimmer.,We decorate the room.,सजा देना,हम कमरा सजाते हैं.
besiegen,to defeat,Die Mannschaft besiegt den Gegner.,The team defeats the opponent.,हारना,टीम प्रतिद्वंद्वी को हरा देती है.
definieren,to define,Der Lehrer definiert das Wort.,The teacher defines the word.,परिभाषित करने के लिए,शिक्षक शब्द को परिभाषित करता है.
löschen,to delete,Ich lösche die Datei.,I delete the file.,हटाना,मैं फ़ाइल हटा देता हूँ.
liefern,to deliver,Der Postbote liefert den Brief.,The postman delivers the letter.,हवाले करना,डाकिया पत्र वितरित करता है।
verlangen,to demand,Ich verlange Respekt.,I demand respect.,मांग करने के लिए,मैं सम्मान की मांग करता हूं.
beschreiben,to describe,Sie beschreibt das Bild.,She describes the picture.,वर्णन करना,वह चित्र का वर्णन करती है।
entwerfen,to design,Er entwirft ein Haus.,He designs a house.,डिजाइन करने के लिए,वह एक घर डिजाइन करता है।
entwickeln,to develop,Sie entwickeln eine neue App.,They develop a new app.,विकसित करने के लिए,वे एक नया ऐप विकसित करते हैं।
sterben,to die,Die Blume stirbt.,The flower dies.,दम टूटना,फूल मर जाता है.
nicht zustimmen,to disagree,Ich stimme ihm nicht zu.,I disagree with him.,असहमत होना,मैं उससे असहमत हूं.
trennen,to disconnect,Ich trenne das Kabel.,I disconnect the cable.,विच्छेद करना,मैं केबल काट देता हूं.
diskutieren,to discuss,Wir diskutieren das Problem.,We discuss the problem.,गुफ़्तगू करना,हम समस्या पर चर्चा करते हैं.
entdecken,to discover,Er entdeckt ein Geheimnis.,He discovers a secret.,खोज करना,उसे एक रहस्य का पता चलता है।
herunterladen,to download,Ich lade ein Lied herunter.,I download a song.,डाउनलोड करने के लिए,मैं एक गाना डाउनलोड करता हूँ.
zeichnen,to draw,Das Kind zeichnet eine Katze.,The child draws a cat.,आकर्षित करने के लिए,बच्चा एक बिल्ली का चित्र बनाता है.
trinken,to drink,Ich trinke Wasser.,I drink water.,पीने के लिए,मैं पानी पीता हूं।
fahren,to drive,Er fährt das Auto.,He drives the car.,गाड़ी चलाना,वह कार चलाता है.
trocknen,to dry,Die Sonne trocknet die Kleider.,The sun dries the clothes.,सुखाना,सूरज कपड़े सुखा देता है.
essen,to eat,Wir essen einen Apfel.,We eat an apple.,को खाने के,हम एक सेब खाते हैं.
leeren,to empty,Ich leere das Glas.,I empty the glass.,खाली करना,मैंने गिलास खाली कर दिया.
enden,to end,Der Film endet bald.,The movie ends soon.,कहानी समाप्त होना,फिल्म जल्द ही ख़त्म हो जाती है.
genießen,to enjoy,Ich genieße die Musik.,I enjoy the music.,आनंद के लिए,मैं संगीत का आनंद लेता हूं.
erleben,to experience,Wir erleben ein Abenteuer.,We experience an adventure.,अनुभव करना,हम एक रोमांच का अनुभव करते हैं।
erklären,to explain,Er erklärt die Regeln.,He explains the rules.,वर्णन करना,वह नियम बताते हैं.
fallen,to fall,Der Apfel fällt vom Baum.,The apple falls from the tree.,गिरने के लिये,सेब पेड़ से गिरता है.
fühlen,to feel,Ich fühle mich glücklich.,I feel happy.,महसूस करने के लिए,मुझे खुशी महसूस हो रही है।
kämpfen,to fight,Sie kämpfen für die Freiheit.,They fight for freedom.,लड़ने के लिए,वे आज़ादी के लिए लड़ते हैं.
füllen,to fill,Ich fülle die Flasche mit Wasser.,I fill the bottle with water.,भरने के लिए,मैं बोतल में पानी भरता हूं.
filmen,to film,Er filmt die Hochzeit.,He films the wedding.,फिल्माने के लिए,वह शादी का फिल्मांकन करता है।
finden,to find,Ich finde die Schlüssel.,I find the keys.,ढूँढ़ने के लिए,मुझे चाबियाँ मिल गईं।
folgen,to follow,Der Hund folgt mir.,The dog follows me.,अनुकरण करना,कुत्ता मेरा पीछा करता है.
vergeben,to forgive,Ich vergebe meinem Freund.,I forgive my friend.,क्षमा करना,मैंने अपने दोस्त को माफ कर दिया.
frieren,to freeze,Ich friere in der Kälte.,I freeze in the cold.,जम जाना,मैं ठंड में जम गया हूं.
braten,to fry,Er brät die Kartoffeln.,He fries the potatoes.,भून के लिए,वह आलू भूनता है.
funktionieren,to function,Die Maschine funktioniert gut.,The machine functions well.,कार्य करने के लिए,मशीन अच्छे से काम करती है.
bekommen,to get,Ich bekomme ein Geschenk.,I get a gift.,पाने के,मुझे एक उपहार मिलता है.
aufstehen,to get up,Ich stehe um sieben Uhr auf.,I get up at 7 o’clock.,उठना,मैं 7 बजे उठता हूं.
geben,to give,Sie gibt mir ein Buch.,She gives me a book.,दे देना,वह मुझे एक किताब देती है.
gehen,to go,Wir gehen zur Schule.,We go to school.,चल देना,हम स्कूल जाते हैं.
ausgehen,to go out,Sie gehen heute Abend aus.,They go out tonight.,बाहर जाने के लिए,वे आज रात बाहर जायेंगे.
grüßen,to greet,Ich grüße meinen Nachbarn.,I greet my neighbor.,अभिवादन करना,मैं अपने पड़ोसी को नमस्कार करता हूं.
grillen,to grill,Wir grillen Würstchen.,We grill sausages.,जाली के लिए,हम सॉसेज ग्रिल करते हैं।
raten,to guess,Kannst du die Antwort raten?,Can you guess the answer?,अंदाज़ करना,क्या आप उत्तर का अनुमान लगा सकते हैं?
hängen,to hang,Das Bild hängt an der Wand.,The picture hangs on the wall.,फांसी के लिए,तस्वीर दीवार पर टंगी है.
hassen,to hate,Ich hasse Lügen.,I hate lies.,नफ़रत करना,मुझे झूठ से नफरत है.
haben,to have,Ich habe ein Auto.,I have a car.,रखने के लिए,मेरे पास एक कार है.
hören,to hear,Ich höre Musik.,I hear music.,सुनने के लिए,मैं संगीत सुनता हूं.
heizen,to heat,Wir heizen das Zimmer.,We heat the room.,गर्मी के लिए,हम कमरे को गर्म करते हैं।
helfen,to help,Sie hilft ihrem Bruder.,She helps her brother.,की मदद,वह अपने भाई की मदद करती है।
hoffen,to hope,Ich hoffe auf gutes Wetter.,I hope for good weather.,आशा करना,मुझे अच्छे मौसम की आशा है.
halten,to hold,Er hält meine Hand.,He holds my hand.,धारण करना,उसने मेरा हाथ पकड़ लिया.
verbessern,to improve,Sie verbessert ihr Deutsch.,She improves her German.,सुधार करने के लिए,वह अपनी जर्मन सुधारती है।
installieren,to install,Ich installiere das Programm.,I install the program.,स्थापित करने के लिए,मैं प्रोग्राम इंस्टॉल करता हूं।
einladen,to invite,Ich lade meine Freunde ein.,I invite my friends.,आमंत्रित करने के लिए,मैं अपने दोस्तों को आमंत्रित करता हूं.
jucken,to itch,Mein Arm juckt.,My arm itches.,खुजली करना,मेरी बांह में खुजली हो रही है.
beitreten,to join,Ich trete dem Verein bei.,I join the club.,शामिल होना,मैं क्लब में शामिल हो गया.
springen,to jump,Die Katze springt auf den Tisch.,The cat jumps on the table.,कूदने के लिए,बिल्ली मेज पर कूदती है.
küssen,to kiss,Sie küssen sich.,They kiss each other.,चुंबन के लिए,वे एक दूसरे को चूमते हैं।
stricken,to knit,Meine Großmutter strickt,My grandmother knits.,को बुनना,मेरी दादी बुनती हैं।
klopfen,to knock,Jemand klopft an die Tür.,Someone knocks on the door.,दस्तक देने के लिए,कोई दरवाज़ा खटखटाता है.
wissen,to know,Ich weiß die Antwort.,I know the answer.,जानने के,मुझे उत्तर पता है.
lachen,to laugh,Wir lachen über den Witz.,We laugh at the joke.,हँसने के लिए,हम मजाक पर हंसते हैं.
lernen,to learn,Ich lerne Deutsch.,I learn German.,जानने के लिए,मैं जर्मन सीखता हूं.
verlassen,to leave,Er verlässt das Haus.,He leaves the house.,छोड़ जाना,वह घर छोड़ देता है.
mögen,to like,Ich mag Pizza.,I like pizza.,पसंद आना,मैं पिज्जा पसंद करता हूं।
zuhören,to listen,Bitte hör mir zu.,Please listen to me.,श्रवण करना,कृपया मेरी बात सुनें।
leben,to live,Sie leben in Berlin.,They live in Berlin.,जिया जाता है,वे बर्लिन में रहते हैं.
laden,to load,Ich lade die Kisten.,I load the boxes.,लोड हो,मैं बक्से लोड करता हूँ।
verlieren,to lose,Ich verliere meine Schlüssel.,I lose my keys.,खोने के लिए,मैं अपनी चाबियाँ खो देता हूँ.
lieben,to love,Ich liebe meine Familie.,I love my family.,प्यार करने के लिए,मुझे अपने परिवार से प्यार है।
schaffen,to manage,Ich schaffe die Aufgabe.,I manage the task.,प्रबंधन करना,मैं कार्य का प्रबंधन करता हूं.
machen,to make,Ich mache Frühstück.,I make breakfast.,बनाने के लिए,मैं नाश्ता बनाऊंगा।
mischen,to mix,Sie mischt die Farben.,She mixes the colors.,मिश्रण करना,वह रंग मिलाती है.
müssen,to must,Ich muss jetzt gehen.,I must go now.,ज़रूर,अब मुझे जाना चाहिए।
nennen,to name,Er nennt die Farben.,He names the colors.,नाम देने के लिए,वह रंगों को नाम देता है।
brauchen,to need,Ich brauche Hilfe.,I need help.,जरूरत को,मुझे मदद की ज़रूरत है।
bemerken,to notice,Ich bemerke den Fehler.,I notice the mistake.,सूचना के लिए,मुझे गलती नजर आयी.
öffnen,to open,Bitte öffne das Fenster.,Please open the window.,को खोलने के लिए,कृपया खिड़की खोल दें।
bestellen,to order,Ich bestelle eine Pizza.,I order a pizza.,ऑर्डर करने के लिए,मैं पिज़्ज़ा ऑर्डर करता हूँ.
organisieren,to organize,Wir organisieren eine Party.,We organize a party.,आयोजित करना,हम एक पार्टी का आयोजन करते हैं.
packen,to pack,Ich packe meinen Koffer.,I pack my suitcase.,पैक करना,मैं अपना सूटकेस पैक करता हूं।
malen,to paint,Das Kind malt ein Bild.,The child paints a picture.,पेंट करने के लिए,बच्चा एक चित्र बनाता है.
parken,to park,Er parkt das Auto.,He parks the car.,पार्क करना,वह कार पार्क करता है.
teilnehmen,to participate,Ich nehme am Spiel teil.,I participate in the game.,भाग लेने के लिए,मैं खेल में भाग लेता हूं.
einfügen,to paste,Ich füge den Text ein.,I paste the text.,चिपकाने के लिए,मैं पाठ चिपकाता हूँ.
bezahlen,to pay,Sie bezahlt die Rechnung.,She pays the bill.,भुगतान करने के लिए,वह बिल का भुगतान करती है।
fotografieren,to photograph,Er fotografiert die Stadt.,He photographs the city.,फोटो खींचने के लिए,वह शहर की तस्वीरें खींचता है।
planen,to plan,Wir planen eine Reise.,We plan a trip.,योजना के लिए,हम एक यात्रा की योजना बनाते हैं।
spielen,to play,Die Kinder spielen Fußball.,The children play football.,खेलने के लिए,बच्चे फुटबॉल खेलते हैं.
pflanzen,to plant,Sie pflanzen einen Baum.,They plant a tree.,पौधा लगाना,वे एक पेड़ लगाते हैं.
üben,to practice,Ich übe Klavier.,I practice the piano.,अभ्यास के लिए,मैं पियानो का अभ्यास करता हूं.
vorbereiten,to prepare,Sie bereitet das Abendessen vor.,She prepares dinner.,परशा।तैयारी करना,वह रात का खाना तैयार करती है.
drücken,to press,Er drückt den Knopf.,He presses the button.,दबाना,वह बटन दबाता है.
drucken,to print,Ich drucke das Dokument.,I print the document.,प्रिंट,मैं दस्तावेज़ प्रिंट करता हूँ.
beweisen,to prove,Er beweist seinen Standpunkt.,He proves his point.,साबित करना,वह अपनी बात साबित करता है.
ziehen,to pull,Ich ziehe die Tür.,I pull the door.,खींचना,मैं दरवाज़ा खींचता हूँ.
schieben,to push,Sie schiebt die Kiste.,She pushes the box.,धक्का मारना,वह बॉक्स को धक्का देती है.
lesen,to read,Ich lese ein Buch.,I read a book.,पढ़ने के लिए,मैंने एक किताब पढ़ी।
erhalten,to receive,Ich erhalte einen Brief.,I receive a letter.,ग्रहण करना,मुझे एक पत्र मिलता है.
reparieren,to repair,Er repariert das Fahrrad.,He repairs the bike.,ठीक करने के लिए,वह बाइक की मरम्मत करता है।
wiederholen,to repeat,Bitte wiederhole die Frage.,Please repeat the question.,दोहराने के लिए,कृपया प्रश्न दोहराएँ.
reservieren,to reserve,Ich reserviere einen Tisch.,I reserve a table.,आरक्षित करने के लिए,मैं एक टेबल आरक्षित करता हूं.
neu starten,to restart,Er startet den Computer neu.,He restarts the computer.,पुनः आरंभ करने के लिए,वह कंप्यूटर को पुनः प्रारंभ करता है.
retten,to rescue,Der Feuerwehrmann rettet das Kind.,The firefighter rescues the child.,बचाव के लिए,फायरफाइटर ने बच्चे को बचाया.
steigen,to rise,Die Sonne steigt auf.,The sun rises.,ऊपर उठना,सूर्य उदय होता है।
laufen,to run,Ich laufe zur Schule.,I run to school.,चलाने के लिए,मैं स्कूल की ओर भागता हूं.
sagen,to say,Er sagt Hallo.,He says hello.,कहने के लिए,वह नमस्ते कहता है.
scannen,to scan,Ich scanne das Dokument.,I scan the document.,स्कैन करने के लिए,मैं दस्तावेज़ स्कैन करता हूं.
schreien,to scream,Das Baby schreit laut.,The baby screams loudly.,चीख,बच्चा जोर-जोर से चिल्लाता है.
sehen,to see,Ich sehe die Sterne.,I see the stars.,देखने के लिए,मैं तारे देखता हूँ.
verkaufen,to sell,Sie verkaufen Obst.,They sell fruits.,बेचने के लिए,वे फल बेचते हैं.
senden,to send,Ich sende eine E-Mail.,I send an email.,भेजने के लिए,मैं एक ईमेल भेजता हूं.
nähen,to sew,Sie näht ein Kleid.,She sews a dress.,सिलाई करने के लिए,वह एक पोशाक सिलती है.
einkaufen,to shop,Wir kaufen im Markt ein.,We shop in the market.,खरीदना,हम बाजार में खरीदारी करते हैं.
sollen,to should,Du sollst mehr essen.,You should eat more.,चाहिये के लिए,आपको और अधिक खाना चाहिए।
zeigen,to show,Er zeigt das Bild.,He shows the picture.,जाहिर करना,वह चित्र दिखाता है.
duschen,to shower,Ich dusche jeden Morgen.,I shower every morning.,स्नान करने के लिए,मैं हर सुबह स्नान करता हूं।
signieren,to sign,Ich signiere das Dokument jeden Tag.,I sign the document every day.,हस्ताक्षर करने के लिए,मैं हर दिन दस्तावेज़ पर हस्ताक्षर करता हूं।
singen,to sing,Sie singt wunderschön.,She sings beautifully.,गाने के लिए,वह खूबसूरती से गाती है।
sitzen,to sit,Wir sitzen jeden Nachmittag im Park.,We sit in the park every afternoon.,बेठना,हम हर दोपहर पार्क में बैठते हैं।
schlafen,to sleep,Er schläft jede Nacht acht Stunden.,He sleeps eight hours every night.,सोने के लिए,वह हर रात आठ घंटे सोते हैं।
riechen,to smell,Die Blumen riechen wunderbar.,The flowers smell amazing.,सूंघना,फूलों की सुगंध अद्भुत है.
lächeln,to smile,"Sie lächelt, wenn sie glücklich ist.",She smiles when she is happy.,मुस्कान के लिए,जब वह खुश होती है तो मुस्कुराती है।
niesen,to sneeze,"Er niest, wenn er Allergien hat.",He sneezes when he has allergies.,छींकना,एलर्जी होने पर उसे छींक आती है।
lösen,to solve,Ich löse Probleme bei der Arbeit.,I solve problems at work.,समाधान करना,मैं कार्यस्थल पर समस्याओं का समाधान करता हूं.
sortieren,to sort,Wir sortieren die Papiere nach Datum.,We sort the papers by date.,सुलझाने के लिए,हम तिथि के अनुसार कागजातों को क्रमबद्ध करते हैं।
stehen,to stand,Sie stehen in der Schlange für Tickets.,They stand in line for tickets.,सहन करना,वे टिकट के लिए लाइन में खड़े हैं.
starten,to start,Ich starte meine Arbeit um 9 Uhr.,I start my work at 9 AM.,आरंभ करना,मैं अपना काम सुबह 9 बजे शुरू करता हूं।
bleiben,to stay,Wir übernachten in einem Hotel,We stay at a hotel,रहने के लिए,हम एक होटल में ठहरते हैं
stehlen,to steal,Er stiehlt Süßigkeiten aus dem Glas.,He steals sweets from the jar.,चोरी करने के लिए,वह जार से मिठाइयाँ चुरा लेता है।
dehnen,to stretch,Er dehnt sich vor dem Training.,He stretches before exercising.,खिंचाव,वह व्यायाम करने से पहले स्ट्रेचिंग करते हैं।
studieren,to study,Ich studiere jeden Abend Deutsch.,I study German every evening.,अध्ययन करना,मैं हर शाम जर्मन सीखता हूं।
leiden,to suffer,Er leidet an einer Erkältung.,He suffers from a cold.,बर्दाश्त करना,वह सर्दी से पीड़ित है।
vorschlagen,to suggest,"Ich schlage vor, eine Pause zu machen.",I suggest taking a break.,करने के लिए सुझाव,मैं एक ब्रेक लेने का सुझाव देता हूं।
unterstützen,to support,Sie unterstützen ihre Freunde.,They support their friends.,समर्थन के लिए,वे अपने दोस्तों का समर्थन करते हैं।
überraschen,to surprise,Er überrascht sie mit Blumen.,He surprises her with flowers.,आश्चर्य करना,वह उसे फूलों से आश्चर्यचकित करता है।
schwitzen,to sweat,Sie schwitzt viel beim Training.,She sweats a lot during workouts.,पसीना आना,वर्कआउट के दौरान वह खूब पसीना बहाती हैं।
schwimmen,to swim,Wir schwimmen jeden Sommer im See.,We swim in the lake every summer.,तैरने के लिए,हम हर गर्मियों में झील में तैरते हैं।
nehmen,to take,Er nimmt den Bus zur Arbeit.,He takes the bus to work.,लेने के,वह काम पर जाने के लिए बस लेता है।
schmecken,to taste,Dieser Kuchen schmeckt lecker.,This cake tastes delicious.,स्वाद के लिए,यह केक बहुत स्वादिष्ट लगता है.
unterrichten,to teach,Sie unterrichtet Englisch für Kinder.,She teaches English to children.,को पढ़ाने के,वह बच्चों को अंग्रेजी पढ़ाती हैं।
sprechen,to talk,Wir sprechen über unsere Pläne.,We talk about our plans.,बातचीत करना,हम अपनी योजनाओं के बारे में बात करते हैं.
danken,to thank,Ich danke dir für deine Hilfe.,I thank you for your help.,धन्यवाद करने,मैं आपकी मदद के लिए धन्यवाद देता हूं.
denken,to think,Ich denke über meine Zukunft nach.,I think about my future.,सोचने के लिए,मैं अपने भविष्य के बारे में सोचता हूं.
reisen,to travel,Wir reisen jeden Sommer nach Deutschland.,We travel to Germany every summer.,यात्रा करना,हम हर गर्मियों में जर्मनी की यात्रा करते हैं।
versuchen,to try,"Er versucht, das Problem zu lösen.",He tries to solve the problem.,प्रयत्न करना,वह समस्या का समाधान करने का प्रयास करता है।
drehen,to turn,Sie dreht den Knauf langsam.,She turns the knob slowly.,चालू करने के लिए,वह धीरे से घुंडी घुमाती है।
verstehen,to understand,Ich verstehe die Anweisungen.,I understand the instructions.,समझ में,मैं निर्देशों को समझता हूं.
aufbinden,to untie,Er bindet das Seil vorsichtig auf.,He unties the rope carefully.,खोलना,वह सावधानी से रस्सी खोलता है।
hochladen,to upload,Sie lädt Fotos auf die Website hoch.,She uploads photos to the website.,अपलोड करने के लिए,वह वेबसाइट पर तस्वीरें अपलोड करती हैं।
benutzen,to use,Wir benutzen den Computer für die Arbeit.,We use the computer for work.,उपयोग करने के लिए,हम काम के लिए कंप्यूटर का उपयोग करते हैं।
